         551452 function calls (523216 primitive calls) in 0.370 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      425    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      423    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      423    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      423    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      380    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      371    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    370/4    0.002    0.000    0.370    0.092 <frozen importlib._bootstrap>:1349(_find_and_load)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      369    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
    368/4    0.001    0.000    0.370    0.092 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      368    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      368    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      368    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      367    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      367    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      365    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
  365/326    0.002    0.000    0.057    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      365    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      365    0.003    0.000    0.147    0.000 __init__.py:280(_compile)
      364    0.000    0.000    0.006    0.000 {built-in method builtins.next}
      359    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      345    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      345    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      344    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      344    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      341    0.001    0.000    0.004    0.000 css_parser.py:1108(selector_iter)
    337/3    0.001    0.000    0.369    0.123 <frozen importlib._bootstrap>:911(_load_unlocked)
  337/334    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      337    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      337    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      333    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      333    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      328    0.000    0.000    0.146    0.000 __init__.py:226(compile)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      322    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
    315/1    0.003    0.000    0.370    0.370 {built-in method builtins.exec}
      314    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      314    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      314    0.000    0.000    0.000    0.000 types.py:192(__init__)
      312    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      312    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      312    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      299    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
  298/295    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      297    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      297    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
      297    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
      297    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
      297    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      297    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      297    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    297/3    0.001    0.000    0.369    0.123 <frozen importlib._bootstrap_external>:989(exec_module)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      297    0.007    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
  291/243    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      272    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      265    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      264    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      263    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      263    0.001    0.000    0.084    0.000 _parser.py:969(parse)
      263    0.001    0.000    0.009    0.000 _compiler.py:511(_compile_info)
      263    0.001    0.000    0.141    0.001 _compiler.py:740(compile)
      263    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      263    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      263    0.000    0.000    0.055    0.000 _compiler.py:573(_code)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
  247/166    0.000    0.000    0.181    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      241    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      239    0.000    0.000    0.008    0.000 _parser.py:98(closegroup)
      239    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      227    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      213    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      212    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      210    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      210    0.000    0.000    0.002    0.000 typing_extensions.py:3171(_collect_parameters)
      210    0.000    0.000    0.001    0.000 typing_extensions.py:3086(_has_generic_or_protocol_as_origin)
      208    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      206    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      196    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      179    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      179    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
      178    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
      173    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      172    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      172    0.002    0.000    0.003    0.000 _compiler.py:467(_get_charset_prefix)
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      167    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
  163/142    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      161    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
      152    0.000    0.000    0.000    0.000 typing_extensions.py:3108(_is_unpacked_typevartuple)
      150    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      147    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
   146/99    0.000    0.000    0.006    0.000 typing.py:508(__getitem__)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      141    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      139    0.000    0.000    0.000    0.000 enum.py:1292(value)
      134    0.000    0.000    0.000    0.000 six.py:92(__init__)
      131    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      123    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      121    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      118    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      117    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      116    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      112    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      106    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      104    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      104    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      103    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      102    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      100    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       99    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       99    0.000    0.000    0.005    0.000 typing.py:687(Union)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       98    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
       98    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       91    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       91    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       90    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       89    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       89    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       87    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       85    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       79    0.001    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       77    0.000    0.000    0.000    0.000 typing.py:944(__hash__)
       77    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
       76    0.000    0.000    0.000    0.000 typing_extensions.py:3048(_check_generic)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
    72/37    0.000    0.000    0.204    0.006 {built-in method builtins.__import__}
       72    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       72    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       71    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       69    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       69    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       69    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       63    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       63    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       62    0.000    0.000    0.000    0.000 _adapters.py:64(redent)
       62    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       62    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       61    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
       61    0.000    0.000    0.000    0.000 enum.py:251(__init__)
    58/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    58/37    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       58    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
       58    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
    56/16    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
       56    0.000    0.000    0.000    0.000 pathlib.py:357(__init__)
       56    0.000    0.000    0.000    0.000 pathlib.py:1166(__new__)
       56    0.000    0.000    0.000    0.000 pathlib.py:1159(__init__)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       54    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
