url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1192357 function calls (1161402 primitive calls) in 3.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.012    0.012 _util.py:1(<module>)
    13600    0.006    0.000    0.012    0.000 filter.py:292(matches_string)
        1    0.000    0.000    0.012    0.012 _config.py:23(create_ssl_context)
        1    0.000    0.000    0.012    0.012 ssl.py:745(create_default_context)
     8052    0.003    0.000    0.012    0.000 __init__.py:122(unescape)
3946/3828    0.008    0.000    0.011    0.000 {built-in method __new__ of type object at 0x00007FFB3C698F90}
     3278    0.006    0.000    0.011    0.000 element.py:1291(__new__)
    10027    0.011    0.000    0.011    0.000 element.py:376(setup)
      104    0.001    0.000    0.011    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.010    0.010 css_match.py:1(<module>)
        1    0.000    0.000    0.010    0.010 sync.py:1(<module>)
        1    0.000    0.000    0.010    0.010 header.py:1(<module>)
      485    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:169(__enter__)
    15481    0.006    0.000    0.010    0.000 _parser.py:247(match)
     3471    0.008    0.000    0.010    0.000 __init__.py:809(pushTag)
    10350    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 socket.py:1(<module>)
        2    0.000    0.000    0.010    0.005 _eventloop.py:1(<module>)
      409    0.009    0.000    0.009    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.009    0.009 windows_utils.py:1(<module>)
      255    0.003    0.000    0.009    0.000 _connection.py:272(_process_event)
     3278    0.006    0.000    0.009    0.000 __init__.py:732(string_container)
      931    0.003    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.009    0.009 ssl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 encoding.py:1(<module>)
        2    0.000    0.000    0.009    0.004 parse.py:1(<module>)
        2    0.000    0.000    0.009    0.004 _streams.py:1(<module>)
     1077    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
      126    0.001    0.000    0.008    0.000 typing.py:1556(__getitem__)
        1    0.001    0.001    0.008    0.008 packages.py:1(<module>)
    29232    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.008    0.008 protocol.py:1(<module>)
        1    0.000    0.000    0.008    0.008 tempfile.py:1(<module>)
  525/524    0.004    0.000    0.008    0.000 _readers.py:156(__call__)
      742    0.004    0.000    0.008    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.008    0.008 _readers.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _content.py:1(<module>)
