url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1098894 function calls (1070575 primitive calls) in 3.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.021    0.021 adapters.py:1(<module>)
10158/10112    0.006    0.000    0.020    0.000 typing.py:349(inner)
94726/87814    0.017    0.000    0.020    0.000 {built-in method builtins.len}
     3278    0.008    0.000    0.020    0.000 __init__.py:867(object_was_parsed)
        1    0.000    0.000    0.020    0.020 cli.py:1(<module>)
    19355    0.011    0.000    0.020    0.000 _parser.py:252(get)
      622    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     3469    0.010    0.000    0.019    0.000 __init__.py:950(_popToTag)
     1122    0.013    0.000    0.019    0.000 _compiler.py:241(_optimize_charset)
      352    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     8704    0.007    0.000    0.018    0.000 filter.py:627(_match_attribute_value_helper)
       16    0.000    0.000    0.017    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.017    0.001 css_parser.py:925(parse_selectors)
 6054/518    0.013    0.000    0.017    0.000 _parser.py:172(getwidth)
      271    0.002    0.000    0.017    0.000 _compiler.py:509(_compile_info)
      439    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    11699    0.004    0.000    0.017    0.000 {built-in method builtins.next}
      403    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   104928    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
     3470    0.005    0.000    0.016    0.000 parser.py:344(check_for_whole_start_tag)
        1    0.000    0.000    0.016    0.016 std.py:1(<module>)
        2    0.000    0.000    0.015    0.008 clean.py:1(<module>)
    13771    0.010    0.000    0.015    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.015    0.015 cd.py:1(<module>)
        1    0.000    0.000    0.015    0.015 tempfile.py:1(<module>)
    79295    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
    28990    0.014    0.000    0.014    0.000 _parser.py:231(__next)
    44/32    0.000    0.000    0.013    0.000 css_parser.py:579(parse_pseudo_class)
      241    0.000    0.000    0.013    0.000 _parser.py:94(closegroup)
      640    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.013    0.013 _lxml.py:1(<module>)
    40/31    0.000    0.000    0.013    0.000 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.012    0.012 cssselectpatch.py:1(<module>)
      329    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
      311    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
     8052    0.003    0.000    0.012    0.000 __init__.py:122(unescape)
    10027    0.012    0.000    0.012    0.000 element.py:376(setup)
     3278    0.006    0.000    0.012    0.000 element.py:1291(__new__)
        1    0.000    0.000    0.011    0.011 shutil.py:1(<module>)
        1    0.000    0.000    0.011    0.011 protocol.py:1(<module>)
        2    0.000    0.000    0.011    0.006 models.py:1(<module>)
    13600    0.006    0.000    0.011    0.000 filter.py:292(matches_string)
    18/17    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    18/17    0.004    0.000    0.011    0.001 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.010    0.005 core.py:1(<module>)
    14997    0.006    0.000    0.010    0.000 _parser.py:247(match)
        1    0.010    0.010    0.010    0.010 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.010    0.010 appdirs.py:1(<module>)
    10362    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
     3471    0.009    0.000    0.010    0.000 __init__.py:809(pushTag)
      944    0.003    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 windows_events.py:1(<module>)
        1    0.000    0.000    0.009    0.009 certs.py:1(<module>)
     3278    0.006    0.000    0.009    0.000 __init__.py:732(string_container)
