url: https://finance.yahoo.com/quote/MSFT/financials/?p=msft
Error check: 'NoneType' object has no attribute 'find'
end
('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         1118989 function calls (1089904 primitive calls) in 3.070 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      373    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       16    0.000    0.000    0.018    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.018    0.001 css_parser.py:925(parse_selectors)
        1    0.000    0.000    0.018    0.018 cli.py:1(<module>)
      283    0.002    0.000    0.018    0.000 _compiler.py:509(_compile_info)
      466    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    11697    0.003    0.000    0.017    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.017    0.008 clean.py:1(<module>)
      428    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.017    0.017 windows_events.py:1(<module>)
     8704    0.006    0.000    0.016    0.000 filter.py:627(_match_attribute_value_helper)
   106059    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.016    0.016 compat.py:1(<module>)
     3470    0.005    0.000    0.014    0.000 parser.py:344(check_for_whole_start_tag)
      253    0.000    0.000    0.014    0.000 _parser.py:94(closegroup)
    13771    0.010    0.000    0.014    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.014    0.014 cd.py:1(<module>)
    81796    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.014    0.014 _lxml.py:1(<module>)
        1    0.000    0.000    0.014    0.014 std.py:1(<module>)
    29360    0.014    0.000    0.014    0.000 _parser.py:231(__next)
    18/17    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    18/17    0.005    0.000    0.013    0.001 {built-in method _imp.exec_dynamic}
    44/32    0.000    0.000    0.013    0.000 css_parser.py:579(parse_pseudo_class)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
    40/31    0.000    0.000    0.013    0.000 css_parser.py:746(parse_pseudo_open)
      682    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.012    0.012 cssselectpatch.py:1(<module>)
        3    0.000    0.000    0.012    0.004 request.py:1(<module>)
      332    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      350    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        2    0.000    0.000    0.011    0.006 models.py:1(<module>)
     3278    0.006    0.000    0.011    0.000 element.py:1291(__new__)
     8052    0.003    0.000    0.011    0.000 __init__.py:122(unescape)
    10027    0.011    0.000    0.011    0.000 element.py:376(setup)
       19    0.004    0.000    0.011    0.001 enum.py:1657(convert_class)
    13600    0.005    0.000    0.010    0.000 filter.py:292(matches_string)
     3278    0.007    0.000    0.010    0.000 __init__.py:732(string_container)
    15213    0.006    0.000    0.010    0.000 _parser.py:247(match)
  163/116    0.000    0.000    0.010    0.000 typing.py:476(__getitem__)
        1    0.000    0.000    0.010    0.010 windows_utils.py:1(<module>)
       12    0.001    0.000    0.009    0.001 enum.py:890(_convert_)
3871/3762    0.007    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFB3C698F90}
     3471    0.008    0.000    0.009    0.000 __init__.py:809(pushTag)
      266    0.001    0.000    0.009    0.000 typing.py:1346(__init__)
    10338    0.009    0.000    0.009    0.000 {method 'search' of 're.Pattern' objects}
        1    0.001    0.001    0.009    0.009 packages.py:1(<module>)
      916    0.003    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.009    0.004 parse.py:1(<module>)
      116    0.001    0.000    0.009    0.000 typing.py:653(Union)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
        1    0.000    0.000    0.009    0.009 encoding.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cookiejar.py:1(<module>)
        1    0.000    0.000    0.008    0.008 tempfile.py:1(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:1001(version)
        1    0.000    0.000    0.008    0.008 frames.py:1(<module>)
        1    0.000    0.000    0.008    0.008 protocol.py:1(<module>)
      334    0.008    0.000    0.008    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.008    0.008 _htmlparser.py:1(<module>)
        1    0.000    0.000    0.008    0.008 header.py:1(<module>)
      401    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
    26204    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.007    0.004 abc.py:1(<module>)
        1    0.000    0.000    0.007    0.007 response.py:398(_decode)
        1    0.000    0.000    0.007    0.007 initialise.py:1(<module>)
    13999    0.005    0.000    0.007    0.000 _parser.py:158(__len__)
        1    0.000    0.000    0.007    0.007 _content.py:1(<module>)
        2    0.001    0.001    0.007    0.004 response.py:88(decompress)
     3470    0.006    0.000    0.007    0.000 __init__.py:786(popTag)
        1    0.000    0.000    0.007    0.007 appdirs.py:1(<module>)
    18542    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.007    0.007 _typing.py:1(<module>)
      179    0.003    0.000    0.007    0.000 _compiler.py:465(_get_charset_prefix)
        1    0.000    0.000    0.007    0.007 events.py:1(<module>)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ansitowin32.py:1(<module>)
        1    0.000    0.000    0.006    0.006 css_types.py:1(<module>)
    30638    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     1852    0.006    0.000    0.006    0.000 __init__.py:906(_linkage_fixer)
      567    0.003    0.000    0.006    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.006    0.006 _multipart.py:1(<module>)
        1    0.006    0.006    0.006    0.006 {method 'decompress' of 'zlib.Decompress' objects}
     2544    0.004    0.000    0.006    0.000 __init__.py:91(_replace_charref)
      926    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       98    0.000    0.000    0.006    0.000 typing.py:1556(__getitem__)
     4070    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      350    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
      578    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       79    0.001    0.000    0.005    0.000 css_parser.py:472(parse_attribute_selector)
     8698    0.004    0.000    0.005    0.000 _parser.py:170(append)
    21839    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
    13600    0.005    0.000    0.005    0.000 filter.py:259(_base_match)
        2    0.000    0.000    0.005    0.002 __init__.py:975(distribution)
        2    0.000    0.000    0.005    0.002 __init__.py:549(from_name)
        1    0.000    0.000    0.005    0.005 _urls.py:1(<module>)
        6    0.000    0.000    0.005    0.001 parser.py:899(_compile)
       32    0.001    0.000    0.005    0.000 enum.py:496(__new__)
       18    0.000    0.000    0.005    0.000 __init__.py:914(<genexpr>)
       16    0.000    0.000    0.005    0.000 __init__.py:812(search)
       38    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       38    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      664    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    10062    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.004    0.004 pretty.py:1(<module>)
     3185    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
      350    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        2    0.000    0.000    0.004    0.002 core.py:1(<module>)
        1    0.000    0.000    0.004    0.004 staggered.py:1(<module>)
      121    0.000    0.000    0.004    0.000 typing.py:1565(copy_with)
11280/11212    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.004    0.001 parser.py:59(parsestr)
        5    0.000    0.000    0.004    0.001 six.py:95(__get__)
     1942    0.002    0.000    0.004    0.000 typing.py:1290(__setattr__)
    20399    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     4529    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.004    0.004 _urlparse.py:1(<module>)
    11364    0.004    0.000    0.004    0.000 element.py:2771(descendants)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1202(dataclass)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1219(wrap)
    16038    0.004    0.000    0.004    0.000 {built-in method builtins.min}
        3    0.000    0.000    0.004    0.001 parser.py:41(parse)
        5    0.000    0.000    0.004    0.001 dataclasses.py:884(_process_class)
       19    0.002    0.000    0.004    0.000 __init__.py:348(namedtuple)
     4707    0.002    0.000    0.004    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.004    0.004 appdirs.py:417(user_data_dir)
        1    0.000    0.000    0.004    0.004 appdirs.py:45(user_data_dir)
      496    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
        1    0.002    0.002    0.004    0.004 appdirs.py:506(_get_win_folder_with_ctypes)
        1    0.000    0.000    0.004    0.004 filepost.py:1(<module>)
        1    0.000    0.000    0.004    0.004 winterm.py:1(<module>)
       10    0.000    0.000    0.004    0.000 __init__.py:821(lookup)
     5940    0.002    0.000    0.004    0.000 element.py:2168(get)
       47    0.000    0.000    0.004    0.000 typing.py:697(Optional)
       10    0.000    0.000    0.004    0.000 __init__.py:827(__init__)
  333/330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       18    0.000    0.000    0.003    0.000 _functools.py:75(wrapper)
       48    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
     2662    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
        8    0.000    0.000    0.003    0.000 feedparser.py:173(feed)
        2    0.000    0.000    0.003    0.002 cookies.py:1(<module>)
       56    0.000    0.000    0.003    0.000 css_parser.py:1106(<listcomp>)
     5131    0.003    0.000    0.003    0.000 _parser.py:284(tell)
      266    0.001    0.000    0.003    0.000 typing_extensions.py:3171(_collect_parameters)
     1294    0.001    0.000    0.003    0.000 _compiler.py:396(_simple)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
        2    0.000    0.000    0.003    0.002 _types.py:1(<module>)
    15361    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _common.py:1(<module>)
    19300    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        2    0.000    0.000    0.003    0.002 __init__.py:629(version)
     3470    0.002    0.000    0.003    0.000 element.py:1820(is_empty_element)
        2    0.000    0.000    0.003    0.002 __init__.py:602(metadata)
        2    0.000    0.000    0.003    0.002 readers.py:1(<module>)
       12    0.001    0.000    0.003    0.000 enum.py:907(<listcomp>)
     1136    0.002    0.000    0.003    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.003    0.003 core.py:21(where)
        1    0.000    0.000    0.003    0.003 fake.py:1(<module>)
      340    0.001    0.000    0.003    0.000 _compiler.py:384(_mk_bitmap)
     1231    0.001    0.000    0.003    0.000 _parser.py:307(_class_escape)
        1    0.000    0.000    0.003    0.003 get_version.py:1(<module>)
     6883    0.003    0.000    0.003    0.000 _parser.py:109(__init__)
        2    0.000    0.000    0.003    0.001 subprocess.py:1(<module>)
      122    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.003    0.003 _common.py:17(files)
        1    0.000    0.000    0.003    0.003 sslproto.py:1(<module>)
       81    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.003    0.003 _common.py:59(from_package)
        1    0.000    0.000    0.003    0.003 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.003    0.003 _adapters.py:151(_native)
        1    0.000    0.000    0.003    0.003 _adapters.py:146(_reader)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
       11    0.000    0.000    0.003    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:1136(get_resource_reader)
      332    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
      270    0.000    0.000    0.003    0.000 typing.py:1251(__init__)
        1    0.000    0.000    0.003    0.003 locks.py:1(<module>)
       11    0.001    0.000    0.003    0.000 feedparser.py:218(_parsegen)
        2    0.000    0.000    0.003    0.001 ssl_.py:259(create_urllib3_context)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
      566    0.001    0.000    0.003    0.000 enum.py:1515(__and__)
      394    0.000    0.000    0.003    0.000 typing.py:689(<genexpr>)
        2    0.000    0.000    0.003    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __meta__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:32(message_from_string)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fields.py:1(<module>)
      398    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
     1831    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       57    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      388    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.000    0.000    0.002    0.002 connection.py:536(_match_hostname)
        1    0.000    0.000    0.002    0.002 win32.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      107    0.001    0.000    0.002    0.000 enum.py:241(__set_name__)
     3308    0.002    0.000    0.002    0.000 __init__.py:1065(handle_data)
      395    0.001    0.000    0.002    0.000 __init__.py:89(find_spec)
        2    0.000    0.000    0.002    0.001 _adapters.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ssl_match_hostname.py:98(match_hostname)
        1    0.000    0.000    0.002    0.002 _decoders.py:1(<module>)
     2117    0.001    0.000    0.002    0.000 typing.py:1238(_is_dunder)
    14711    0.002    0.000    0.002    0.000 typing.py:2246(cast)
       38    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
      401    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
       38    0.000    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
     1128    0.001    0.000    0.002    0.000 _parser.py:444(_uniq)
      717    0.001    0.000    0.002    0.000 enum.py:685(__call__)
      578    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
        4    0.000    0.000    0.002    0.001 ssl_match_hostname.py:25(_dnsname_match)
      996    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      226    0.000    0.000    0.002    0.000 typing.py:1561(<genexpr>)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
